"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Project3200\assets\vendor\glightbox\js\glightbox.js", "JavaScript", 0, 0, 3066, 0, 0, 0, 0, 590, 3656
"c:\xampp\htdocs\Project3200\assets\vendor\glightbox\js\glightbox.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\Project3200\assets\vendor\isotope-layout\isotope.pkgd.js", "JavaScript", 0, 0, 2198, 0, 0, 0, 830, 536, 3564
"c:\xampp\htdocs\Project3200\assets\vendor\isotope-layout\isotope.pkgd.min.js", "JavaScript", 0, 0, 2, 0, 0, 0, 9, 1, 12
"c:\xampp\htdocs\Project3200\assets\vendor\php-email-form\validate.js", "JavaScript", 0, 0, 70, 0, 0, 0, 5, 11, 86
"c:\xampp\htdocs\Project3200\assets\vendor\purecounter\purecounter_vanilla.js", "JavaScript", 0, 0, 1, 0, 0, 0, 8, 0, 9
"c:\xampp\htdocs\Project3200\assets\vendor\swiper\swiper-bundle.min.css", "CSS", 0, 0, 0, 1, 0, 0, 11, 1, 13
"c:\xampp\htdocs\Project3200\assets\vendor\swiper\swiper-bundle.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 12, 1, 14
"c:\xampp\htdocs\Project3200\assets\vendor\waypoints\noframework.waypoints.js", "JavaScript", 0, 0, 583, 0, 0, 0, 71, 104, 758
"c:\xampp\htdocs\Project3200\books.php", "PHP", 22, 0, 0, 0, 0, 0, 2, 1, 25
"c:\xampp\htdocs\Project3200\card.php", "PHP", 119, 0, 0, 0, 0, 0, 2, 8, 129
"c:\xampp\htdocs\Project3200\community.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 6, 27
"c:\xampp\htdocs\Project3200\css\book.css", "CSS", 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\xampp\htdocs\Project3200\css\book_details.css", "CSS", 0, 0, 0, 78, 0, 0, 16, 20, 114
"c:\xampp\htdocs\Project3200\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Project3200\css\bootstrap\_media.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_border-radius.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_screen-reader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\mixins\_visibility.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Project3200\css\bootstrap\utilities\_stretched-link.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\Project3200\css\card.css", "CSS", 0, 0, 0, 54, 0, 0, 1, 9, 64
"c:\xampp\htdocs\Project3200\css\community.css", "CSS", 0, 0, 0, 68, 0, 0, 8, 14, 90
"c:\xampp\htdocs\Project3200\css\login.css", "CSS", 0, 0, 0, 61, 0, 0, 1, 9, 71
"c:\xampp\htdocs\Project3200\css\personalize.css", "CSS", 0, 0, 0, 87, 0, 0, 3, 13, 103
"c:\xampp\htdocs\Project3200\css\profile.css", "CSS", 0, 0, 0, 47, 0, 0, 4, 11, 62
"c:\xampp\htdocs\Project3200\css\searchbox.css", "CSS", 0, 0, 0, 99, 0, 0, 0, 17, 116
"c:\xampp\htdocs\Project3200\css\sidebar.css", "CSS", 0, 0, 0, 55, 0, 0, 3, 10, 68
"c:\xampp\htdocs\Project3200\css\signup.css", "CSS", 0, 0, 0, 0, 0, 0, 56, 1, 57
"c:\xampp\htdocs\Project3200\css\write_review.css", "CSS", 0, 0, 0, 51, 0, 0, 5, 8, 64
"c:\xampp\htdocs\Project3200\forms\contact.php", "PHP", 18, 0, 0, 0, 0, 0, 16, 8, 42
"c:\xampp\htdocs\Project3200\homepage.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 4, 29
"c:\xampp\htdocs\Project3200\includes\clear.inc.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\Project3200\includes\community.inc.php", "PHP", 25, 0, 0, 0, 0, 0, 12, 9, 46
"c:\xampp\htdocs\Project3200\includes\dbh.inc.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\Project3200\includes\delete_task.inc.php", "PHP", 18, 0, 0, 0, 0, 0, 9, 5, 32
"c:\xampp\htdocs\Project3200\includes\functions.inc.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 7, 65
"c:\xampp\htdocs\Project3200\includes\header.inc.php", "PHP", 54, 0, 0, 0, 0, 0, 1, 5, 60
"c:\xampp\htdocs\Project3200\includes\homepage.inc.php", "PHP", 29, 0, 0, 0, 0, 0, 5, 10, 44
"c:\xampp\htdocs\Project3200\includes\joinclass.in.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\Project3200\includes\login.inc.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 12, 38
"c:\xampp\htdocs\Project3200\includes\personalize.inc.php", "PHP", 22, 0, 0, 0, 0, 0, 9, 6, 37
"c:\xampp\htdocs\Project3200\includes\profile.inc.php", "PHP", 30, 0, 0, 0, 0, 0, 7, 8, 45
"c:\xampp\htdocs\Project3200\includes\read.inc.php", "PHP", 17, 0, 0, 0, 0, 0, 3, 4, 24
"c:\xampp\htdocs\Project3200\includes\search.inc.php", "PHP", 12, 0, 0, 0, 0, 0, 7, 8, 27
"c:\xampp\htdocs\Project3200\includes\signup.inc.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 13, 51
"c:\xampp\htdocs\Project3200\includes\submit_code.inc.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\xampp\htdocs\Project3200\includes\upload.inc.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 2, 28
"c:\xampp\htdocs\Project3200\includes\wishlist.inc.php", "PHP", 17, 0, 0, 0, 0, 0, 3, 4, 24
"c:\xampp\htdocs\Project3200\includes\write_review.inc.php", "PHP", 42, 0, 0, 0, 0, 0, 10, 9, 61
"c:\xampp\htdocs\Project3200\index.php", "PHP", 173, 0, 0, 0, 0, 0, 0, 39, 212
"c:\xampp\htdocs\Project3200\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\Project3200\js\extention\choices.js", "JavaScript", 0, 0, 3796, 0, 0, 0, 1379, 1032, 6207
"c:\xampp\htdocs\Project3200\js\extention\custom-materialize.js", "JavaScript", 0, 0, 8620, 0, 0, 0, 1955, 1799, 12374
"c:\xampp\htdocs\Project3200\js\extention\flatpickr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 2, 4
"c:\xampp\htdocs\Project3200\js\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"c:\xampp\htdocs\Project3200\js\main.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 7, 20
"c:\xampp\htdocs\Project3200\js\popper.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\Project3200\js\search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 3, 3
"c:\xampp\htdocs\Project3200\login.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\xampp\htdocs\Project3200\personalize.php", "PHP", 64, 0, 0, 0, 0, 0, 2, 10, 76
"c:\xampp\htdocs\Project3200\profile.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 8, 59
"c:\xampp\htdocs\Project3200\reviews.php", "PHP", 44, 0, 0, 0, 0, 0, 1, 3, 48
"c:\xampp\htdocs\Project3200\scss\bootstrap\_alert.scss", "SCSS", 0, 28, 0, 0, 0, 0, 13, 11, 52
"c:\xampp\htdocs\Project3200\scss\bootstrap\_badge.scss", "SCSS", 0, 34, 0, 0, 0, 0, 12, 9, 55
"c:\xampp\htdocs\Project3200\scss\bootstrap\_breadcrumb.scss", "SCSS", 0, 29, 0, 0, 0, 0, 8, 5, 42
"c:\xampp\htdocs\Project3200\scss\bootstrap\_button-group.scss", "SCSS", 0, 101, 0, 0, 0, 0, 31, 32, 164
"c:\xampp\htdocs\Project3200\scss\bootstrap\_buttons.scss", "SCSS", 0, 87, 0, 0, 0, 0, 22, 29, 138
"c:\xampp\htdocs\Project3200\scss\bootstrap\_card.scss", "SCSS", 0, 202, 0, 0, 0, 0, 34, 54, 290
"c:\xampp\htdocs\Project3200\scss\bootstrap\_carousel.scss", "SCSS", 0, 142, 0, 0, 0, 0, 30, 26, 198
"c:\xampp\htdocs\Project3200\scss\bootstrap\_close.scss", "SCSS", 0, 27, 0, 0, 0, 0, 8, 7, 42
"c:\xampp\htdocs\Project3200\scss\bootstrap\_code.scss", "SCSS", 0, 36, 0, 0, 0, 0, 6, 7, 49
"c:\xampp\htdocs\Project3200\scss\bootstrap\_custom-forms.scss", "SCSS", 0, 388, 0, 0, 0, 0, 45, 75, 508
"c:\xampp\htdocs\Project3200\scss\bootstrap\_dropdown.scss", "SCSS", 0, 152, 0, 0, 0, 0, 16, 24, 192
"c:\xampp\htdocs\Project3200\scss\bootstrap\_forms.scss", "SCSS", 0, 206, 0, 0, 0, 0, 71, 54, 331
"c:\xampp\htdocs\Project3200\scss\bootstrap\_functions.scss", "SCSS", 0, 54, 0, 0, 0, 0, 19, 14, 87
"c:\xampp\htdocs\Project3200\scss\bootstrap\_grid.scss", "SCSS", 0, 28, 0, 0, 0, 0, 15, 10, 53
"c:\xampp\htdocs\Project3200\scss\bootstrap\_images.scss", "SCSS", 0, 22, 0, 0, 0, 0, 13, 8, 43
"c:\xampp\htdocs\Project3200\scss\bootstrap\_input-group.scss", "SCSS", 0, 129, 0, 0, 0, 0, 32, 33, 194
"c:\xampp\htdocs\Project3200\scss\bootstrap\_jumbotron.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\xampp\htdocs\Project3200\scss\bootstrap\_list-group.scss", "SCSS", 0, 94, 0, 0, 0, 0, 25, 31, 150
"c:\xampp\htdocs\Project3200\scss\bootstrap\_media.scss", "SCSS", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\Project3200\scss\bootstrap\_mixins.scss", "SCSS", 0, 32, 0, 0, 0, 0, 9, 7, 48
"c:\xampp\htdocs\Project3200\scss\bootstrap\_modal.scss", "SCSS", 0, 161, 0, 0, 0, 0, 34, 35, 230
"c:\xampp\htdocs\Project3200\scss\bootstrap\_nav.scss", "SCSS", 0, 78, 0, 0, 0, 0, 19, 24, 121
"c:\xampp\htdocs\Project3200\scss\bootstrap\_navbar.scss", "SCSS", 0, 194, 0, 0, 0, 0, 46, 55, 295
"c:\xampp\htdocs\Project3200\scss\bootstrap\_pagination.scss", "SCSS", 0, 59, 0, 0, 0, 0, 4, 11, 74
"c:\xampp\htdocs\Project3200\scss\bootstrap\_popover.scss", "SCSS", 0, 142, 0, 0, 0, 0, 5, 25, 172
"c:\xampp\htdocs\Project3200\scss\bootstrap\_print.scss", "SCSS", 0, 84, 0, 0, 0, 0, 33, 25, 142
"c:\xampp\htdocs\Project3200\scss\bootstrap\_progress.scss", "SCSS", 0, 37, 0, 0, 0, 0, 1, 6, 44
"c:\xampp\htdocs\Project3200\scss\bootstrap\_reboot.scss", "SCSS", 0, 265, 0, 0, 0, 0, 134, 85, 484
